Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
19,James White\WhitJa02,NWE,26,rb,16,3,123,87,70.7%,751,8.6,7,42,5.4,46.9,0
20,Saquon Barkley*\BarkSa00,NYG,21,RB,16,16,121,91,75.2%,721,7.9,4,57,5.7,45.1,0
21,T.Y. Hilton\HiltT.00,IND,29,WR,14,14,120,76,63.3%,1270,16.7,6,68,5.4,90.7,0
22,Kenny Golladay\GollKe00,DET,25,WR,15,13,119,70,58.8%,1063,15.2,5,60,4.7,70.9,1
23,Brandin Cooks\CookBr00,LAR,25,WR,16,16,117,80,68.4%,1204,15.1,5,57,5.0,75.3,1
24,Golden Tate\TateGo00,2TM,30,,15,8,113,74,65.5%,795,10.7,4,67,4.9,53.0,3
25,Larry Fitzgerald\FitzLa00,ARI,35,WR,16,16,112,69,61.6%,734,10.6,6,37,4.3,45.9,0
26,Corey Davis\DaviCo03,TEN,23,WR,16,16,112,65,58.0%,891,13.7,4,51,4.1,55.7,1
27,Eric Ebron*\EbroEr00,IND,25,te/wr,16,8,110,66,60.0%,750,11.4,13,53,4.1,46.9,1
28,Tyler Boyd\BoydTy00,CIN,24,WR,14,14,108,76,70.4%,1028,13.5,7,49,5.4,73.4,0
29,Julian Edelman\EdelJu00,NWE,32,WR,12,12,108,74,68.5%,850,11.5,6,36,6.2,70.8,1
30,Amari Cooper*\CoopAm00,2TM,24,,15,15,107,75,70.1%,1005,13.4,7,90,5.0,67.0,2
31,Sterling Shepard\ShepSt00,NYG,25,WR,16,16,107,66,61.7%,872,13.2,4,58,4.1,54.5,1
32,Alvin Kamara*\KamaAl00,NOR,23,RB,15,13,105,81,77.1%,709,8.8,4,42,5.4,47.3,1
33,Adam Humphries\HumpAd00,TAM,25,WR,16,10,105,76,72.4%,816,10.7,5,51,4.8,51.0,2
34,Zay Jones\JoneZa00,BUF,23,WR,16,15,102,56,54.9%,652,11.6,7,57,3.5,40.8,1
35,Jared Cook*\CookJa02,OAK,31,TE,16,14,101,68,67.3%,896,13.2,6,45,4.3,56.0,0
36,Dede Westbrook\WestDe00,JAX,25,WR,16,9,101,66,65.3%,717,10.9,5,61,4.1,44.8,3
37,Michael Crabtree\CrabMi00,BAL,31,WR,16,16,100,54,54.0%,607,11.2,3,27,3.4,37.9,0
38,Emmanuel Sanders\SandEm00,DEN,31,WR,12,12,98,71,72.4%,868,12.2,4,64,5.9,72.3,1
39,Nelson Agholor\AghoNe00,PHI,25,WR,16,16,97,64,66.0%,736,11.5,4,83,4.0,46.0,1
40,John Brown\BrowJo02,BAL,28,WR,16,15,97,42,43.3%,715,17.0,5,71,2.6,44.7,0
41,Ezekiel Elliott*\ElliEz00,DAL,23,RB,15,15,95,77,81.1%,567,7.4,3,38,5.1,37.8,6
42,Willie Snead\SneaWi00,BAL,26,WR,16,10,95,62,65.3%,651,10.5,1,28,3.9,40.7,0
43,Chris Godwin\GodwCh00,TAM,22,wr,16,5,95,59,62.1%,842,14.3,7,48,3.7,52.6,4
44,Mohamed Sanu\SanuMo00,ATL,29,WR,16,16,94,66,70.2%,838,12.7,4,44,4.1,52.4,2
45,Allen Robinson\RobiAl02,CHI,25,WR,13,12,94,55,58.5%,754,13.7,4,43,4.2,58.0,1
46,Robby Anderson\AndeRo04,NYJ,25,WR,14,9,94,50,53.2%,752,15.0,6,76,3.6,53.7,2
47,Taylor Gabriel\GabrTa00,CHI,27,WR,16,11,93,67,72.0%,688,10.3,2,54,4.2,43.0,1
48,Alshon Jeffery\JeffAl00,PHI,28,WR,13,13,92,65,70.7%,843,13.0,6,52,5.0,64.8,1
49,Calvin Ridley\RidlCa00,ATL,24,wr,16,5,92,64,69.6%,821,12.8,10,75,4.0,51.3,2
50,Tarik Cohen*+\CoheTa00,CHI,23,rb/wr,16,7,91,71,78.0%,725,10.2,5,70,4.4,45.3,7
51,Demaryius Thomas\ThomDe03,2TM,31,,15,15,89,59,66.3%,677,11.5,5,45,3.9,45.1,0
52,Jimmy Graham\GrahJi00,GNB,32,TE,16,12,89,55,61.8%,636,11.6,2,54,3.4,39.8,0
53,Donte Moncrief\MoncDo00,JAX,25,WR,16,14,89,48,53.9%,668,13.9,3,80,3.0,41.8,1
54,Austin Hooper*\HoopAu00,ATL,24,te,16,7,88,71,80.7%,660,9.3,4,36,4.4,41.3,0
55,Jordy Nelson\NelsJo00,OAK,33,WR,15,14,88,63,71.6%,739,11.7,3,66,4.2,49.3,1
56,David Njoku\NjokDa00,CLE,22,TE,16,14,88,56,63.6%,639,11.4,4,66,3.5,39.9,0
57,Cole Beasley\BeasCo00,DAL,29,wr,16,4,87,65,74.7%,672,10.3,3,32,4.1,42.0,0
58,Jordan Reed\ReedJo02,WAS,28,te/wr,13,8,84,54,64.3%,558,10.3,2,34,4.2,42.9,1
59,Courtland Sutton\SuttCo00,DEN,23,WR,16,9,84,42,50.0%,704,16.8,4,42,2.6,44.0,0
60,Kyle Rudolph\RudoKy00,MIN,29,TE,16,16,82,64,78.0%,634,9.9,4,44,4.0,39.6,0
61,D.J. Moore\MoorD.00,CAR,21,WR,16,10,82,55,67.1%,788,14.3,2,82,3.4,49.3,4
62,Jalen Richard\RichJa01,OAK,25,rb,16,1,81,68,84.0%,607,8.9,0,32,4.3,37.9,3
63,Nyheim Hines\HineNy00,IND,22,rb,16,4,81,63,77.8%,425,6.7,2,28,3.9,26.6,1
64,Todd Gurley*+\GurlTo01,LAR,24,RB,14,14,81,59,72.8%,580,9.8,4,56,4.2,41.4,1
65,Danny Amendola\AmenDa00,MIA,33,WR,15,15,79,59,74.7%,575,9.7,1,39,3.9,38.3,2
66,Devin Funchess\FuncDe00,CAR,24,WR,14,12,79,44,55.7%,549,12.5,4,27,3.1,39.2,0
67,Antonio Callaway\CallAn00,CLE,21,WR,16,11,79,43,54.4%,586,13.6,5,71,2.7,36.6,1
68,T.J. Yeldon\YeldT.00,JAX,25,rb,14,5,78,55,70.5%,487,8.9,4,37,3.9,34.8,1
69,Josh Doctson\DoctJo00,WAS,26,WR,15,12,78,44,56.4%,532,12.1,2,32,2.9,35.5,0
70,A.J. Green\GreeA.00,CIN,30,WR,9,9,77,46,59.7%,694,15.1,6,38,5.1,77.1,2
71,Trey Burton\BurtTr01,CHI,27,TE,16,16,76,54,71.1%,569,10.5,6,47,3.4,35.6,1
72,David Johnson\JohnDa08,ARI,27,RB,16,16,76,50,65.8%,446,8.9,3,40,3.1,27.9,3
73,Jermaine Kearse\KearJe01,NYJ,28,WR,14,9,76,37,48.7%,371,10.0,1,29,2.6,26.5,0
74,Theo Riddick\RiddTh00,DET,27,wr,14,3,74,61,82.4%,384,6.3,0,20,4.4,27.4,0
75,DeSean Jackson\JackDe00,TAM,32,WR,12,10,74,41,55.4%,774,18.9,4,75,3.4,64.5,0
76,Kenyan Drake\DrakKe00,MIA,24,rb,16,7,73,53,72.6%,477,9.0,5,52,3.3,29.8,2
77,Doug Baldwin\BaldDo00,SEA,30,WR,13,13,73,50,68.5%,618,12.4,5,42,3.8,47.5,0
78,Marquez Valdes-Scantling\ValdMa00,GNB,24,WR,16,10,73,38,52.1%,581,15.3,2,60,2.4,36.3,0
79,Chester Rogers\RogeCh02,IND,24,WR,16,10,72,53,73.6%,485,9.2,2,34,3.3,30.3,1
80,Vance McDonald\McDoVa00,PIT,28,TE,15,14,72,50,69.4%,610,12.2,4,75,3.3,40.7,2
81,Rob Gronkowski\GronRo00,NWE,29,TE,13,11,72,47,65.3%,682,14.5,3,42,3.6,52.5,1
82,James Conner*\ConnJa00,PIT,23,RB,13,12,71,55,77.5%,497,9.0,1,29,4.2,38.2,4
83,Josh Gordon\GordJo02,2TM,27,,12,12,71,41,57.7%,737,18.0,4,55,3.4,61.4,0
84,Tyler Lockett\LockTy00,SEA,26,WR,16,14,70,57,81.4%,965,16.9,10,52,3.6,60.3,2
85,Keelan Cole\ColeKe00,JAX,25,WR,16,11,70,38,54.3%,491,12.9,1,35,2.4,30.7,2
86,Ricky Seals-Jones\SealRi00,ARI,23,te,15,5,69,34,49.3%,343,10.1,1,40,2.3,22.9,0
87,Christian Kirk\KirkCh01,ARI,22,wr,12,7,68,43,63.2%,590,13.7,3,75,3.6,49.2,0
88,Quincy Enunwa\EnunQu00,NYJ,26,WR,11,10,68,38,55.9%,449,11.8,1,42,3.5,40.8,2
89,Michael Gallup\GallMi00,DAL,22,WR,16,8,68,33,48.5%,507,15.4,2,49,2.1,31.7,0
90,Dion Lewis\LewiDi00,TEN,28,rb,16,7,67,59,88.1%,400,6.8,1,37,3.7,25.0,1
91,Kelvin Benjamin\BenjKe00,2TM,27,,15,10,67,25,37.3%,380,15.2,1,40,1.7,25.3,0
92,Melvin Gordon*\GordMe00,LAC,25,RB,12,12,66,50,75.8%,490,9.8,4,66,4.2,40.8,1
93,Mike Williams\WillMi07,LAC,24,wr,16,5,66,43,65.2%,664,15.4,10,55,2.7,41.5,0
94,Kendrick Bourne\BourKe00,SFO,23,WR,16,8,66,42,63.6%,487,11.6,4,33,2.6,30.4,1
95,Tyrell Williams\WillTy00,LAC,26,lcb/wr,16,10,65,41,63.1%,653,15.9,5,75,2.6,40.8,2
96,Curtis Samuel\SamuCu00,CAR,22,WR,13,8,65,39,60.0%,494,12.7,5,53,3.0,38.0,1
97,Evan Engram\EngrEv00,NYG,24,TE,11,8,64,45,70.3%,577,12.8,3,54,4.1,52.5,0
98,Seth Roberts\RobeSe00,OAK,27,wr,15,7,64,45,70.3%,494,11.0,2,44,3.0,32.9,0
99,C.J. Uzomah\UzomC.00,CIN,25,TE,16,15,64,43,67.2%,439,10.2,3,29,2.7,27.4,0
100,Kenny Stills\StilKe00,MIA,26,WR,15,15,64,37,57.8%,553,14.9,6,75,2.5,36.9,1
101,Duke Johnson\JohnDu00,CLE,25,rb,16,2,62,47,75.8%,429,9.1,3,32,2.9,26.8,1
102,Marvin Jones\JoneMa02,DET,28,WR,9,9,62,35,56.5%,508,14.5,5,39,3.9,56.4,0
103,Randall Cobb\CobbRa00,GNB,28,wr,9,6,61,38,62.3%,383,10.1,2,75,4.2,42.6,2
104,Jarius Wright\WrigJa02,CAR,29,fb/wr,16,6,59,43,72.9%,447,10.4,1,33,2.7,27.9,3
105,John Ross\RossJo00,CIN,24,WR,13,10,58,21,36.2%,210,10.0,7,39,1.6,16.2,0
106,Chris Herndon\HernCh00,NYJ,22,TE,16,12,56,39,69.6%,502,12.9,4,32,2.4,31.4,2
107,Taywan Taylor\TaylTa00,TEN,23,wr,13,5,56,37,66.1%,466,12.6,1,55,2.8,35.8,1
108,Joe Mixon\MixoJo00,CIN,22,RB,14,13,55,43,78.2%,296,6.9,1,21,3.1,21.1,0
109,Chris Thompson\ThomCh03,WAS,28,,10,0,55,41,74.5%,268,6.5,1,23,4.1,26.8,1
110,Cooper Kupp\KuppCo00,LAR,25,WR,8,8,55,40,72.7%,566,14.2,6,70,5.0,70.8,0
111,Sammy Watkins\WatkSa00,KAN,25,WR,10,9,55,40,72.7%,519,13.0,3,50,4.0,51.9,1
112,Chris Hogan\HogaCh00,NWE,30,wr,16,7,55,35,63.6%,532,15.2,3,63,2.2,33.3,0
113,Anthony Miller\MillAn02,CHI,24,wr,15,4,54,33,61.1%,423,12.8,7,55,2.2,28.2,1
114,Austin Ekeler\EkelAu00,LAC,23,rb,14,3,53,39,73.6%,404,10.4,3,44,2.8,28.9,1
115,Rashard Higgins\HiggRa00,CLE,24,wr,13,1,53,39,73.6%,572,14.7,4,40,3.0,44.0,2
116,Laquon Treadwell\TreaLa00,MIN,23,wr,15,7,53,35,66.0%,302,8.6,1,22,2.3,20.1,0
117,Josh Reynolds\ReynJo00,LAR,23,WR,16,8,53,29,54.7%,402,13.9,5,33,1.8,25.1,0
118,David Moore\MoorDa03,SEA,23,wr,16,7,53,26,49.1%,445,17.1,5,54,1.6,27.8,2
119,Ryan Grant\GranRy01,IND,28,WR,14,10,52,35,67.3%,334,9.5,1,23,2.5,23.9,0
120,Chris Conley\ConlCh00,KAN,26,WR,16,13,52,32,61.5%,334,10.4,5,27,2.0,20.9,2
121,Devontae Booker\BookDe00,DEN,26,,16,0,51,38,74.5%,275,7.2,0,30,2.4,17.2,1
122,Mark Andrews\AndrMa00,BAL,22,te,16,3,50,34,68.0%,552,16.2,3,74,2.1,34.5,0
123,Gerald Everett\EverGe00,LAR,24,,16,0,50,33,66.0%,320,9.7,3,40,2.1,20.0,0
124,Dalvin Cook\CookDa01,MIN,23,RB,11,10,49,40,81.6%,305,7.6,2,27,3.6,27.7,2
125,Ian Thomas\ThomIa00,CAR,22,te,16,6,49,36,73.5%,333,9.3,2,31,2.3,20.8,0
126,Cameron Brate\BratCa00,TAM,27,te,16,2,49,30,61.2%,289,9.6,6,21,1.9,18.1,1
127,Jamison Crowder\CrowJa00,WAS,25,wr,9,7,49,29,59.2%,388,13.4,2,79,3.2,43.1,0
128,Giovani Bernard\BernGi00,CIN,27,rb,12,4,48,35,72.9%,218,6.2,0,26,2.9,18.2,0
129,O.J. Howard\HowaO.00,TAM,24,TE,10,8,48,34,70.8%,565,16.6,5,75,3.4,56.5,0
130,Jeff Heuerman\HeueJe00,DEN,26,TE,11,10,48,31,64.6%,281,9.1,2,36,2.8,25.5,0
131,Phillip Lindsay*\LindPh00,DEN,24,RB,15,8,47,35,74.5%,241,6.9,1,29,2.3,16.1,0
132,Maurice Harris\HarrMa05,WAS,26,wr,12,7,47,28,59.6%,304,10.9,0,42,2.3,25.3,1
133,Tajae Sharpe\SharTa00,TEN,24,WR,16,13,47,26,55.3%,316,12.2,2,28,1.6,19.8,0
134,DeVante Parker\ParkDe01,MIA,25,wr,11,7,47,24,51.1%,309,12.9,1,46,2.2,28.1,0
135,Ben Watson\WatsBe00,NOR,38,te,16,4,46,35,76.1%,400,11.4,2,32,2.2,25.0,0
136,LeSean McCoy\McCoLe01,BUF,30,qb/RB,14,13,46,34,73.9%,238,7.0,0,24,2.4,17.0,0
137,Zach Pascal\PascZa00,IND,24,wr,16,4,46,27,58.7%,268,9.9,2,28,1.7,16.8,0
138,Pierre Garcon\GarcPi00,SFO,32,WR,8,8,46,24,52.2%,286,11.9,1,25,3.0,35.8,0
139,Chad Williams\WillCh05,ARI,24,wr,10,7,46,17,37.0%,171,10.1,1,22,1.7,17.1,0
140,Jacquizz Rodgers\RodgJa00,TAM,28,,16,0,45,38,84.4%,304,8.0,0,24,2.4,19.0,1
141,Will Fuller\FullWi01,HOU,24,wr,7,7,45,32,71.1%,503,15.7,4,73,4.6,71.9,0
142,DaeSean Hamilton\HamiDa01,DEN,23,wr,14,5,45,30,66.7%,243,8.1,2,24,2.1,17.4,0
143,Antonio Gates\GateAn00,LAC,38,te,16,1,45,28,62.2%,333,11.9,2,27,1.8,20.8,1
144,Dante Pettis\PettDa00,SFO,23,wr,12,7,45,27,60.0%,467,17.3,5,75,2.3,38.9,2
145,Ryan Switzer\SwitRy00,PIT,24,wr,16,1,44,36,81.8%,253,7.0,1,24,2.3,15.8,2
146,Dallas Goedert\GoedDa00,PHI,23,TE,16,8,44,33,75.0%,334,10.1,4,32,2.1,20.9,0
147,Tevin Coleman\ColeTe01,ATL,25,RB,16,14,44,32,72.7%,276,8.6,5,39,2.0,17.3,2
148,Tre'Quan Smith\SmitTr03,NOR,22,wr,15,7,44,28,63.6%,427,15.3,5,62,1.9,28.5,0
149,Robert Foster\FostRo01,BUF,24,wr,13,3,44,27,61.4%,541,20.0,3,75,2.1,41.6,0
150,Javorius Allen\AlleJa01,BAL,27,,14,0,43,35,81.4%,196,5.6,2,17,2.5,14.0,1
151,Nick Vannett\VannNi00,SEA,25,TE,15,9,43,29,67.4%,269,9.3,3,32,1.9,17.9,1
152,Ryan Griffin\GrifRy00,HOU,28,TE,14,11,43,24,55.8%,305,12.7,0,47,1.7,21.8,0
153,Marquise Goodwin\GoodMa00,SFO,28,WR,11,8,43,23,53.5%,395,17.2,4,67,2.1,35.9,1
154,Mike Davis\DaviMi01,SEA,25,rb,15,2,42,34,81.0%,214,6.3,1,18,2.3,14.3,0
155,Phillip Dorsett\DorsPh00,NWE,25,wr,16,2,42,32,76.2%,290,9.1,3,20,2.0,18.1,0
156,Bruce Ellington\ElliBr00,2TM,27,,7,3,42,31,73.8%,224,7.2,1,23,4.4,32.0,1
157,Kyle Juszczyk*\JuszKy00,SFO,27,FB,16,14,41,30,73.2%,324,10.8,1,56,1.9,20.3,2
158,Keke Coutee\CoutKe00,HOU,21,wr,6,2,41,28,68.3%,287,10.3,1,40,4.7,47.8,0
159,Jamaal Williams\WillJa06,GNB,23,RB,16,8,41,27,65.9%,210,7.8,0,26,1.7,13.1,0
160,Trent Taylor\TaylTr02,SFO,24,,14,0,41,26,63.4%,215,8.3,1,23,1.9,15.4,1
161,Tim Patrick\PatrTi00,DEN,25,wr,16,4,41,23,56.1%,315,13.7,1,26,1.4,19.7,2
162,Ty Montgomery\MontTy01,2TM,25,,13,0,40,25,62.5%,235,9.4,0,43,1.9,18.1,2
163,Kerryon Johnson\JohnKe06,DET,21,rb/wr,10,7,39,32,82.1%,213,6.7,1,24,3.2,21.3,1
164,Jesse James\JameJe00,PIT,24,te,16,7,39,30,76.9%,423,14.1,2,51,1.9,26.4,0
165,Dontrelle Inman\InmaDo00,IND,29,wr,9,4,39,28,71.8%,304,10.9,3,29,3.1,33.8,0
166,Greg Olsen\OlseGr00,CAR,33,TE,9,9,38,27,71.1%,291,10.8,4,23,3.0,32.3,0
167,James O'Shaughnessy\O'ShJa00,JAX,26,TE,14,9,38,24,63.2%,214,8.9,0,17,1.7,15.3,0
168,James Washington\WashJa00,PIT,22,wr,14,6,38,16,42.1%,217,13.6,1,47,1.1,15.5,0
169,Matt LaCosse\LaCoMa00,DEN,26,te,15,5,37,24,64.9%,250,10.4,1,44,1.6,16.7,0
170,Nick Boyle\BoylNi00,BAL,25,TE,16,13,37,23,62.2%,213,9.3,0,25,1.4,13.3,0
171,Blake Jarwin\JarwBl00,DAL,24,te,16,4,36,27,75.0%,307,11.4,3,39,1.7,19.2,0
172,Vernon Davis\DaviVe00,WAS,34,te/wr,14,8,36,25,69.4%,367,14.7,2,53,1.8,26.2,0
173,Charles Clay\ClayCh00,BUF,29,TE/wr,13,12,36,21,58.3%,184,8.8,0,21,1.6,14.2,1
174,Equanimeous St. Brown\St.BEq00,GNB,22,wr,12,7,36,21,58.3%,328,15.6,0,54,1.8,27.3,0
175,Wendell Smallwood\SmalWe00,PHI,24,rb,16,6,35,28,80.0%,230,8.2,2,36,1.8,14.4,2
176,Kareem Hunt\HuntKa00,KAN,23,RB,11,11,35,26,74.3%,378,14.5,7,67,2.4,34.4,0
177,Aaron Jones\JoneAa00,GNB,24,RB,12,8,35,26,74.3%,206,7.9,1,24,2.2,17.2,1
178,Albert Wilson\WilsAl02,MIA,26,wr,7,3,35,26,74.3%,391,15.0,4,75,3.7,55.9,0
179,Lamar Miller*\MillLa01,HOU,27,RB,14,14,35,25,71.4%,163,6.5,1,16,1.8,11.6,1
180,Jason Croom\CrooJa00,BUF,24,te,15,3,35,22,62.9%,259,11.8,1,26,1.5,17.3,2
181,Allen Hurns\HurnAl01,DAL,27,wr,16,7,35,20,57.1%,295,14.8,2,49,1.3,18.4,1
182,Paul Richardson\RichPa01,WAS,26,wr,7,4,35,20,57.1%,262,13.1,2,46,2.9,37.4,0
183,Aldrick Robinson\RobiAl00,MIN,30,,14,0,35,17,48.6%,231,13.6,5,40,1.2,16.5,0
184,Rhett Ellison\ElliRh00,NYG,30,TE,14,12,34,25,73.5%,272,10.9,1,29,1.8,19.4,0
185,Tyler Higbee\HigbTy00,LAR,25,TE,16,16,34,24,70.6%,292,12.2,2,36,1.5,18.3,1
186,Jakeem Grant\GranJa00,MIA,26,wr,10,2,34,21,61.8%,268,12.8,2,52,2.1,26.8,0
187,Jack Doyle\DoylJa00,IND,28,te,6,6,33,26,78.8%,245,9.4,2,20,4.3,40.8,1
188,Demarcus Robinson\RobiDe01,KAN,24,wr,16,5,33,22,66.7%,288,13.1,4,89,1.4,18.0,0
189,Ito Smith\SmitIt00,ATL,23,,14,0,32,27,84.4%,152,5.6,0,20,1.9,10.9,1
190,Geoff Swaim\SwaiGe00,DAL,25,TE,9,9,32,26,81.3%,242,9.3,1,43,2.9,26.9,0
191,Mike Gesicki\GesiMi00,MIA,23,te,16,7,32,22,68.8%,202,9.2,0,27,1.4,12.6,1
192,DJ Chark\CharDJ00,JAX,22,,11,0,32,14,43.8%,174,12.4,0,38,1.3,15.8,1
193,Matt Breida\BreiMa00,SFO,23,RB,14,13,31,27,87.1%,261,9.7,2,26,1.9,18.6,1
194,Elijah McGuire\McGuEl00,NYJ,24,rb,8,3,31,19,61.3%,193,10.2,1,20,2.4,24.1,2
195,Torrey Smith\SmitTo02,CAR,29,wr,11,6,31,17,54.8%,190,11.2,2,35,1.5,17.3,0
196,Marcell Ateman\AtemMa00,OAK,24,wr,7,6,31,15,48.4%,154,10.3,1,32,2.1,22.0,0
197,Geronimo Allison\AlliGe01,GNB,24,wr,5,4,30,20,66.7%,303,15.2,2,64,4.0,60.6,1
198,Jonnu Smith\SmitJo01,TEN,23,TE,13,12,30,20,66.7%,258,12.9,3,61,1.5,19.8,1
199,Isaiah McKenzie\McKeIs00,2TM,23,,8,1,30,18,60.0%,179,9.9,0,23,2.3,22.4,2
200,Ted Ginn\GinnTe00,NOR,33,wr,5,3,30,17,56.7%,209,12.3,2,42,3.4,41.8,1
201,Deonte Thompson\ThomDe04,2TM,29,,13,6,30,17,56.7%,161,9.5,0,15,1.3,12.4,0
202,Terrelle Pryor\PryoTe00,2TM,29,,8,1,30,16,53.3%,252,15.8,2,44,2.0,31.5,0
203,Jaylen Samuels\SamuJa00,PIT,22,rb,14,3,29,26,89.7%,199,7.7,3,23,1.9,14.2,1
204,Peyton Barber\BarbPe01,TAM,24,RB,16,16,29,20,69.0%,92,4.6,1,10,1.3,5.8,1
205,Nick Chubb\ChubNi00,CLE,23,RB,16,9,29,20,69.0%,149,7.5,2,24,1.3,9.3,0
206,Alex Erickson\EricAl01,CIN,26,wr,16,6,29,20,69.0%,167,8.4,0,28,1.3,10.4,1
207,Isaiah Crowell\CrowIs00,NYJ,25,rb,13,6,28,21,75.0%,152,7.2,0,21,1.6,11.7,0
208,Cordarrelle Patterson\PattCo00,NWE,27,rb/wr,15,5,28,21,75.0%,247,11.8,3,55,1.4,16.5,1
209,Jordan Matthews\MattJo00,PHI,26,wr,14,3,28,20,71.4%,300,15.0,2,56,1.4,21.4,0
210,Trent Sherfield\SherTr00,ARI,22,wr,13,2,28,19,67.9%,210,11.1,1,21,1.5,16.2,0
211,Cody Core\CoreCo00,CIN,24,wr,14,3,28,13,46.4%,160,12.3,1,30,0.9,11.4,0
212,Mark Ingram\IngrMa01,NOR,29,rb,12,6,27,21,77.8%,170,8.1,1,28,1.8,14.2,3
213,Alfred Blue\BlueAl00,HOU,27,rb,16,2,27,20,74.1%,154,7.7,0,28,1.3,9.6,0
214,Jordan Thomas\ThomJo05,HOU,22,TE,16,10,27,20,74.1%,215,10.8,4,39,1.3,13.4,0
215,Martavis Bryant\BryaMa00,OAK,27,wr,8,2,27,19,70.4%,266,14.0,0,47,2.4,33.3,1
216,Virgil Green\GreeVi00,LAC,30,TE,16,16,27,19,70.4%,210,11.1,1,26,1.2,13.1,0
217,Bennie Fowler\FowlBe00,NYG,27,wr,10,5,27,16,59.3%,199,12.4,1,26,1.6,19.9,1
218,Leonard Fournette\FourLe00,JAX,23,RB,8,8,26,22,84.6%,185,8.4,1,31,2.8,23.1,0
219,Latavius Murray\MurrLa00,MIN,28,rb,16,6,26,22,84.6%,141,6.4,0,16,1.4,8.8,0
220,Jordan Howard\HowaJo00,CHI,24,RB,16,15,26,20,76.9%,145,7.3,0,18,1.3,9.1,2
221,Adrian Peterson\PeteAd01,WAS,33,RB,16,16,26,20,76.9%,208,10.4,1,52,1.3,13.0,3
222,T.J. Jones\JoneT.00,DET,26,wr,15,3,26,19,73.1%,190,10.0,2,26,1.3,12.7,0
223,Marlon Mack\MackMa00,IND,22,RB,12,10,26,17,65.4%,103,6.1,1,29,1.4,8.6,2
224,DeAndre Carter\CartDe02,2TM,25,,14,4,25,22,88.0%,216,9.8,0,50,1.6,15.4,5
225,Corey Clement\ClemCo00,PHI,24,,11,0,25,22,88.0%,192,8.7,0,23,2.0,17.5,4
226,Lance Kendricks\KendLa00,GNB,30,te,16,3,25,19,76.0%,170,8.9,1,22,1.2,10.6,0
227,Chris Moore\MoorCh00,BAL,25,,16,0,25,19,76.0%,196,10.3,1,30,1.2,12.3,0
228,Jordan Akins\AkinJo00,HOU,26,te,16,6,25,17,68.0%,225,13.2,0,28,1.1,14.1,0
229,Trenton Cannon\CannTr00,NYJ,24,,16,0,25,17,68.0%,144,8.5,0,35,1.1,9.0,0
230,Breshad Perriman\PerrBr02,CLE,25,wr,10,2,25,16,64.0%,340,21.3,2,66,1.6,34.0,0
231,Josh Bellamy\BellJo02,CHI,29,wr,16,2,25,14,56.0%,117,8.4,1,20,0.9,7.3,0
232,Demetrius Harris\HarrDe03,KAN,27,te,15,3,25,12,48.0%,164,13.7,3,35,0.8,10.9,0
233,Damien Williams\WillDa05,KAN,26,rb,16,3,24,23,95.8%,160,7.0,2,32,1.4,10.0,1
